SMILES,SPLIT
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,train
O=C(C=CC(=O)NCCCN1CCOCC1)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,train
Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCCC1,train
Nc1ncc(C=CC(=O)NCCCn2ccnc2)c2scc(-c3ccc(Br)cc3)c12,train
N#Cc1cnc2cc(O)c(O)cc2c1Nc1cccc(Br)c1,train
N#Cc1cnc2c(F)cc(NCc3cnc[nH]3)cc2c1Nc1ccc(F)c(Cl)c1,train
N#CC(=Cc1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,train
CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,train
COCCOc1cc2ncc(C#N)c(NC3CC3c3ccccc3)c2cc1OC,train
COCC1CCCN1CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,train
COc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,train
COc1cc2ncc(C#N)c(NC3CC3c3cccc(Br)c3)c2cc1OC,train
COc1cc2ncc(C#N)c(NC3CC3c3ccc(Br)cc3)c2cc1OC,train
COc1cc2c(cc1OC)Oc1ncnc(Sc3cccc(Cl)c3)c1NC2,train
CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Cl,train
CN1CCN(CCCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,train
CN(C)c1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,train
Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCCC4)c23)ccc1OCc1ccccn1,train
CCOc1cc2ncnc(C#CC(C)(Cc3ccccc3)N3CCC(C(=O)O)CC3)c2cc1OCC,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)C=CCN1CC1C(=O)OC,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)C=Cc1cn(C)cn1,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccc(F)cc4F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccc(F)cc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCOC(=O)c1cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2c1CC,train
CCOC(=O)C1C(=N)N(c2cccnc2)C2=CCCC(=O)C2C1c1c(C)nn(-c2ccc(C)cc2)c1Cl,train
CCCN(c1ccc(OC)cc1)c1nc(C)nc2oc(C)cc12,train
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCCN1CCCC1,train
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,test
Cc1cccc(Nc2ncnc3ccc(NC(=O)NCCCl)cc23)c1,test
Cc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(N)=S)cc1,train
Cc1cc(Nc2ncnc3[nH]nc(OCCN4CCC(O)CC4)c23)ccc1OCc1ccccn1,train
Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,train
CC(Nc1ncnc2sc3c(c12)CCN(C(=O)CC=CN(C)C)C3)c1ccccc1,train
